TaxonLevel	ShannonIndex	Richness
Species	1.02589739806688	44
Genus	0.973714830287731	30
Family	0.756278950198144	19
Order	0.75174618898162	13
Class	0.73089468003413	9
Phylum	0.708932036160807	4
